STOP_ID, ROUTES_USING_STOP, LONGITUDE, TICKETZONE, LATITUDE, STOP_NAME, OBJECTID
"19914","Pakenham,Cranbourne",145.138833,"2",-37.938491,"Westall Railway Station (Clayton South)",90
"19949","Sandringham",145.001471,"2",-37.937977,"Hampton Railway Station (Hampton)",125
"19937","Frankston",145.036738,"2",-37.934353,"Moorabbin Railway Station (Moorabbin)",113
"19950","Sandringham",144.989154,"1,2",-37.926484,"Brighton Beach Railway Station (Brighton)",126
"19938","Frankston",145.03547,"2",-37.925149,"Patterson Railway Station (Bentleigh)",114
"19915","Pakenham,Cranbourne",145.120534,"2",-37.924683,"Clayton Railway Station (Clayton)",91
"19939","Frankston",145.036995,"1,2",-37.917425,"Bentleigh Railway Station (Bentleigh)",115
"19951","Sandringham",144.996299,"1,2",-37.915134,"Middle Brighton Railway Station (Brighton)",127
"19916","Pakenham,Cranbourne",145.102364,"1,2",-37.911017,"Huntingdale Railway Station (Oakleigh)",92
"19940","Frankston",145.038299,"1,2",-37.910309,"McKinnon Railway Station (Mckinnon)",116
