,STOP_ID, STOP_NAME,SA3_NAME
934,18952,49-Kenilworth Gr/Malvern Rd (Malvern),Malvern
935,16757,53-Malvern Rd/High St (Glen Iris),Glen Iris
936,19056,50-Glenarm Rd/Malvern Rd (Glen Iris),Glen Iris
937,18953,50-Burke Rd/Malvern Rd (Malvern),Malvern
938,19054,51-Gardiner Station/Burke Rd (Glen Iris),Glen Iris
939,18954,51-Gardiner Railway Station/Burke Rd (Hawthorn East),Hawthorn East
940,18955,52-Harris Ave/Burke Rd (Hawthorn East),Hawthorn East
941,19053,52-Bickleigh St/Burke Rd (Glen Iris),Glen Iris
942,18956,53-Faircroft Ave/Burke Rd (Hawthorn East),Hawthorn East
943,19052,53-Howitt St/Burke Rd (Glen Iris),Glen Iris
944,18412,68-East Brighton/Hawthorn Rd (Brighton East),Brighton East
945,18413,67-Howell St/Hawthorn Rd (Brighton East),Brighton East
946,19000,67-Rogers Ave/Hawthorn Rd (Brighton East),Brighton East
947,18414,66-Union St/Hawthorn Rd (Brighton East),Brighton East
948,19001,66-Union St/Hawthorn Rd (Brighton East),Brighton East
949,18415,65-Davey Ave/Hawthorn Rd (Brighton East),Brighton East
950,19002,65-Davey Ave/Hawthorn Rd (Brighton East),Brighton East
951,18416,64-Taylor St/Hawthorn Rd (Brighton East),Brighton East
952,19003,64-Taylor St/Hawthorn Rd (Brighton East),Brighton East
953,18417,63-North Rd/Hawthorn Rd (Brighton East),Brighton East
954,19004,63-North Rd/Hawthorn Rd (Brighton East),Brighton East
955,18418,62-Gardenvale Rd/Hawthorn Rd (Caulfield South),Caulfield South
956,19005,62-Gardenvale Rd/Hawthorn Rd (Caulfield South),Caulfield South
957,18419,61-Raynes St/Hawthorn Rd (Caulfield South),Caulfield South
958,19006,61-Stone St/Hawthorn Rd (Caulfield South),Caulfield South
959,18420,60-Dover St/Hawthorn Rd (Caulfield South),Caulfield South
960,19007,60-Dover St/Hawthorn Rd (Caulfield South),Caulfield South
961,18421,59-Princes Park/Hawthorn Rd (Caulfield South),Caulfield South
962,19008,59-Princes Park/Hawthorn Rd (Caulfield South),Caulfield South
963,18422,58-Sycamore St/Hawthorn Rd (Caulfield South),Caulfield South
964,19009,58-Sycamore St/Hawthorn Rd (Caulfield South),Caulfield South
965,18393,50-Royal Pde/Glenhuntly Rd (Caulfield),Caulfield
966,18987,50-Royal Pde/Glenhuntly Rd (Caulfield),Caulfield
967,18423,57-Glenhuntly Rd/Hawthorn Rd (Caulfield South),Caulfield South
968,19070,51-Hawthorn Rd/Glenhuntly Rd (Caulfield),Caulfield
969,18394,51-Hawthorn Rd/Glenhuntly Rd (Caulfield),Caulfield
970,19010,57-Glenhuntly Rd/Hawthorn Rd (Caulfield),Caulfield
971,18395,52-Jasmine St/Glenhuntly Rd (Caulfield),Caulfield
972,19071,52-Jasmine St/Glenhuntly Rd (Caulfield),Caulfield
973,19011,56-Briggs St/Hawthorn Rd (Caulfield),Caulfield
974,18424,56-Lockhart St/Hawthorn Rd (Caulfield),Caulfield
975,19072,53-Glenhuntly Tram Depot/Glenhuntly Rd (Caulfield),Caulfield
976,18396,53-Glenhuntly Tram Depot/Glenhuntly Rd (Caulfield),Caulfield
977,18425,55-Sylverly Gr/Hawthorn Rd (Caulfield),Caulfield
978,19073,54-Bambra Rd/Glenhuntly Rd (Caulfield),Caulfield
979,18397,54-Bambra Rd/Glenhuntly Rd (Caulfield),Caulfield
980,19012,55-Sylverly Gr/Hawthorn Rd (Caulfield North),Caulfield North
981,19074,55-Fallon St/Glenhuntly Rd (Caulfield),Caulfield
982,18398,55-Fallon St/Glenhuntly Rd (Caulfield),Caulfield
983,18426,54-Glen Eira Rd/Hawthorn Rd (Caulfield),Caulfield
984,19013,54-Glen Eira Rd/Hawthorn Rd (Caulfield North),Caulfield North
985,19075,56-Kambrook Rd/Glenhuntly Rd (Caulfield),Caulfield
986,18399,56-Kean St/Glenhuntly Rd (Caulfield),Caulfield
987,19076,57-Clarke Ave/Glenhuntly Rd (Caulfield East),Caulfield East
988,18400,57-Laura St/Glenhuntly Rd (Caulfield),Caulfield
989,18427,53-Crotonhurst Ave/Hawthorn Rd (Caulfield North),Caulfield North
990,19014,53-Northcote Ave/Hawthorn Rd (Caulfield North),Caulfield North
991,19077,58-Booran Rd/Glenhuntly Rd (Caulfield East),Caulfield East
992,18401,58-Booran Rd/Glenhuntly Rd (Caulfield),Caulfield
993,20565,72-Manningtree Rd/Glenferrie Rd (Hawthorn),Hawthorn
994,20564,72-Manningtree Rd/Glenferrie Rd (Hawthorn),Hawthorn
995,20563,71-Urquhart St/Glenferrie Rd (Hawthorn),Hawthorn
996,20562,71-Urquhart St/Glenferrie Rd (Hawthorn),Hawthorn
997,19452,30-Through St/Riversdale Rd (Hawthorn),Hawthorn
998,19300,30-Through St/Riversdale Rd (Hawthorn),Hawthorn
999,19451,31-Fordholm Rd/Riversdale Rd (Hawthorn),Hawthorn
1000,19301,31-Fordholm Rd/Riversdale Rd (Hawthorn),Hawthorn
1001,20561,70-Riversdale Rd/Glenferrie Rd (Hawthorn),Hawthorn
1002,19450,32-Glenferrie Rd/Riversdale Rd (Hawthorn),Hawthorn
1003,19302,32-Glenferrie Rd/Riversdale Rd (Hawthorn),Hawthorn
